Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru,Quarter
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xa21875a467b43b63af15a712c3627a70798588fc,5pence.eth,Salaries,5500.0,5500.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,9500.0,9500.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb1c376b6a13fc92009b4b512c46a872c62770ab0,daemon.eth,Salaries,3000.0,3000.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xa21875a467b43b63af15a712c3627a70798588fc,5pence.eth,Salaries,5500.0,5500.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb1c376b6a13fc92009b4b512c46a872c62770ab0,daemon.eth,Salaries,3000.0,3000.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,6500.0,6500.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xea5c280f4328493b95962d5a0321d5f60cdff38c,avsa.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x80ffe5f0f3e38cbd31e6f00b9423fb93bbb1a57d,184.eth,Salaries,3000.0,3000.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,9500.0,9500.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0x41d694c52b86e1997aa3f92a35ff6f2f9d9fa605dcf493af4498ca3a894341aa,2024-09-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0x2ce61efa1d4ab1f2c5c512cae572402e0ab73c01e8b13046eafdce1e2be3f333,2024-09-07,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Swap,CoW Swap,81967.422329,81967.422329,USDC,1,Direct,2024Q3
Interquarter,2024-09-30,Providers,Providers,Providers,Providers,Providers,Providers,63288.68465499999,63288.68465499999,USDC,1,Direct,2024Q3
0x5830bcd8fa48efaf09959214158cd7c1ff787bc3b2121e9d23c381d4a4acc773,2024-07-04,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x1d65c6d3ad39d454ea8f682c49ae7744706ea96d,Providers,Providers,493150.684931,493150.684931,USDC,1,Direct,2024Q3
0xe2654bef96daa59d79715a346069da1cf0ef12af85a2bdd7f410e67a4a78913b,2024-08-23,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x1d65c6d3ad39d454ea8f682c49ae7744706ea96d,Providers,Providers,493150.684931,493150.684931,USDC,1,Direct,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,EFP,EFP,Stream,42465.737499999996,42465.737499999996,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,42465.737499999996,42465.737499999996,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Namehash,Namehash,Stream,50958.885,50958.885,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Namespace,Namespace,Stream,16986.295000000002,16986.295000000002,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,59452.032499999994,59452.032499999994,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Wildcard,Wildcard,Stream,16986.295000000002,16986.295000000002,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Unruggable,Unruggable,Stream,33972.590000000004,33972.590000000004,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Unicorn,Unicorn,Stream,16986.295000000002,16986.295000000002,USDC,1,,2024Q3
Stream,2024-07-31,Providers,Providers,Providers,Blockful,Blockful,Stream,25479.4425,25479.4425,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Namespace,Namespace,Stream,16986.295000000002,16986.295000000002,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,59452.032499999994,59452.032499999994,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Blockful,Blockful,Stream,25479.4425,25479.4425,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Unicorn,Unicorn,Stream,16986.295000000002,16986.295000000002,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,EFP,EFP,Stream,42465.737499999996,42465.737499999996,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,42465.737499999996,42465.737499999996,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Namehash,Namehash,Stream,50958.885,50958.885,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Unruggable,Unruggable,Stream,33972.590000000004,33972.590000000004,USDC,1,,2024Q3
Stream,2024-08-31,Providers,Providers,Providers,Wildcard,Wildcard,Stream,16986.295000000002,16986.295000000002,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,Wildcard,Wildcard,Stream,16438.350000000002,16438.350000000002,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,Unruggable,Unruggable,Stream,32876.700000000004,32876.700000000004,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,Unicorn,Unicorn,Stream,16438.350000000002,16438.350000000002,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,57534.225,57534.225,USDC,1,,2024Q3
